GRADE,CARBON_per,SILICON_per,MANGNESE_per,SULPHUR_per,phosphorus_per,per_ELONGATION
10C4,0.11,0.18,0.39,0.055,0.055,11
SAE 1040,0.423,0.35,0.809,0.047,0.038,11
NST 37-2,0.3422,0.202,0.7374,0.008,0.0049,21.16
40C8,0.38,0.28,0.8,0.035,0.035,10
45C8,0.43,0.22,0.74,0.023,0.03,10
50C4,0.52,0.34,0.66,0.042,0.036,9
C 45,0.489,0.22,0.796,0.05,0.04,24
C 60,0.62,0.353,0.77,0.042,0.042,11
C 50,0.521,0.27,0.63,0.03,0.03,14
CK 45,0.462,0.4,0.68,0.03,0.04,7
ASTM SA 36,0.286,0.28,1.03,0.05,0.04,23
ASTM SA 105,0.324,0.32,1.05,0.037,0.033,22
C55MN75,0.55,0.4,1.21,0.03,0.045,10
60C4,0.601,0.3,0.803,0.025,0.025,11
65C6,0.65,0.24,0.55,0.032,0.029,10
EA,0.339,0.231,0.983,0.08,0.069,9.02
IA,0.311,0.223,0.991,0.086,0.079,11.72
SA,0.345,0.206,0.806,0.079,0.068,9.8
OA,0.324,0.222,1.001,0.018,0.075,10.1
AA,0.351,0.23,0.963,0.049,0.067,10.11
ALA,0.315,0.216,0.981,0.063,0.056,9.89
A12,0.259,0.179,0.519,0.038,0.043,31.42
A16,0.329,0.176,0.555,0.036,0.042,27.95
B10,0.33,0.307,0.727,0.040 ,0.045,27.11
B12,0.169,0.228,0.579,0.047,0.056,31.54
B16,0.291,0.193,0.579,0.042,0.054,30.42
